[16:52:07] Using device: cuda
[16:52:07] Current GPU: NVIDIA GeForce RTX 4080
[16:52:07] Using device: cuda
[16:52:07] === Starting Training ===
[16:52:07] Initializing model...
[16:52:08] Model initialized successfully
loading annotations into memory...
Done (t=6.24s)
creating index...
index created!
[16:52:15] Initial GPU Memory: Allocated=662.99MB, Reserved=687.87MB
[16:52:15]
Epoch 1/10 starting
[16:52:15] Dataset size: 20000
[16:52:15] DataLoader length: 5000
[16:52:16] Batch 0000/5000 | Loss: 5.6136 | Class: 4.1808 | Box: 0.1481
[16:52:18] Batch 0010/5000 | Loss: 146489.2812 | Class: 146486.7188 | Box: 0.7504
[16:52:21] Batch 0020/5000 | Loss: 4.0892 | Class: 2.7380 | Box: 0.1233
[16:52:24] Batch 0030/5000 | Loss: 439456.1875 | Class: 439455.0000 | Box: 0.1532
[16:52:27] Batch 0040/5000 | Loss: 244143.5312 | Class: 244142.5312 | Box: 0.1211
[16:52:30] Batch 0050/5000 | Loss: 97658.8906 | Class: 97658.0000 | Box: 0.0741
[16:52:32] Batch 0060/5000 | Loss: 755669.8750 | Class: 755668.9375 | Box: 0.1457
[16:52:35] Batch 0070/5000 | Loss: 2.4796 | Class: 1.4720 | Box: 0.2081
[16:52:38] Batch 0080/5000 | Loss: 2.0698 | Class: 1.2703 | Box: 0.0575
[16:52:40] Batch 0090/5000 | Loss: 2.5594 | Class: 1.2596 | Box: 0.1508
[16:52:43] Batch 0100/5000 | Loss: 623231.6875 | Class: 623230.6250 | Box: 0.0979
[16:52:46] Batch 0110/5000 | Loss: 2.4813 | Class: 1.2397 | Box: 0.1140
[16:52:49] Batch 0120/5000 | Loss: 146486.5156 | Class: 146485.4688 | Box: 0.1343
[16:52:51] Batch 0130/5000 | Loss: 106328.4141 | Class: 106327.4766 | Box: 0.1124
[16:52:54] Batch 0140/5000 | Loss: 2.2725 | Class: 1.1340 | Box: 0.1711
[16:52:57] Batch 0150/5000 | Loss: 244142.3906 | Class: 244141.5938 | Box: 0.0630
[16:53:00] Batch 0160/5000 | Loss: 341798.8125 | Class: 341797.8438 | Box: 0.1318
[16:53:02] Batch 0170/5000 | Loss: 48830.5000 | Class: 48829.1523 | Box: 0.1308
[16:53:05] Batch 0180/5000 | Loss: 2.0516 | Class: 0.9147 | Box: 0.0701
[16:53:08] Batch 0190/5000 | Loss: 100152.4219 | Class: 100151.1953 | Box: 0.1620
[16:53:11] Batch 0200/5000 | Loss: 2.0740 | Class: 0.9575 | Box: 0.1308
[16:53:14] Batch 0210/5000 | Loss: 2.0620 | Class: 0.9610 | Box: 0.1750
[16:53:16] Batch 0220/5000 | Loss: 342635.6875 | Class: 342634.3438 | Box: 0.2870
[16:53:19] Batch 0230/5000 | Loss: 103521.6719 | Class: 103520.6328 | Box: 0.1612
[16:53:22] Batch 0240/5000 | Loss: 3362203.0000 | Class: 3362202.0000 | Box: 0.1833
[16:53:24] Batch 0250/5000 | Loss: 1.8730 | Class: 0.8857 | Box: 0.1711
[16:53:27] Batch 0260/5000 | Loss: 2.1944 | Class: 0.8292 | Box: 0.1203
[16:53:30] Batch 0270/5000 | Loss: 392736.4375 | Class: 392735.1250 | Box: 0.1365
[16:53:33] Batch 0280/5000 | Loss: 2.1123 | Class: 0.8711 | Box: 0.1953
[16:53:36] Batch 0290/5000 | Loss: 537111.0625 | Class: 537110.0000 | Box: 0.1290
[16:53:38] Batch 0300/5000 | Loss: 732423.5625 | Class: 732422.5000 | Box: 0.1408
[16:53:41] Batch 0310/5000 | Loss: 947369.6250 | Class: 947368.6250 | Box: 0.1009
[16:53:44] Batch 0320/5000 | Loss: 48830.1562 | Class: 48828.9336 | Box: 0.1795
[16:53:47] Batch 0330/5000 | Loss: 586225.4375 | Class: 586224.3750 | Box: 0.1140
[16:53:49] Batch 0340/5000 | Loss: 1.6082 | Class: 0.7012 | Box: 0.1255
[16:53:52] Batch 0350/5000 | Loss: 51895.7227 | Class: 51894.8242 | Box: 0.1355
[16:53:55] Batch 0360/5000 | Loss: 1.8107 | Class: 0.8075 | Box: 0.2239
[16:53:58] Batch 0370/5000 | Loss: 501758.2500 | Class: 501756.9375 | Box: 0.1207
[16:54:00] Batch 0380/5000 | Loss: 244142.4375 | Class: 244141.1875 | Box: 0.0847
[16:54:03] Batch 0390/5000 | Loss: 1.7245 | Class: 0.5958 | Box: 0.0982
[16:54:06] Batch 0400/5000 | Loss: 1.7796 | Class: 0.6167 | Box: 0.1384
[16:54:09] Batch 0410/5000 | Loss: 1.8093 | Class: 0.6277 | Box: 0.1524
[16:54:12] Batch 0420/5000 | Loss: 1.8303 | Class: 0.5910 | Box: 0.0944
[16:54:14] Batch 0430/5000 | Loss: 927735.6250 | Class: 927734.5625 | Box: 0.1444
[16:54:17] Batch 0440/5000 | Loss: 1025392.0000 | Class: 1025390.9375 | Box: 0.1203
[16:54:20] Batch 0450/5000 | Loss: 1.4054 | Class: 0.4666 | Box: 0.0331
[16:54:23] Batch 0460/5000 | Loss: 1.9919 | Class: 0.7858 | Box: 0.2752
[16:54:25] Batch 0470/5000 | Loss: 1.4698 | Class: 0.5487 | Box: 0.1082
[16:54:28] Batch 0480/5000 | Loss: 1.3413 | Class: 0.4803 | Box: 0.0735
[16:54:31] Batch 0490/5000 | Loss: 97657.8906 | Class: 97656.8984 | Box: 0.2188
[16:54:34] Batch 0500/5000 | Loss: 244142.6094 | Class: 244141.2188 | Box: 0.1708
[16:54:37] Batch 0510/5000 | Loss: 439454.9375 | Class: 439453.7500 | Box: 0.3039
[16:54:39] Batch 0520/5000 | Loss: 1.2426 | Class: 0.4849 | Box: 0.1214
[16:54:42] Batch 0530/5000 | Loss: 2.0852 | Class: 0.5620 | Box: 0.1672
[16:54:45] Batch 0540/5000 | Loss: 2.5614 | Class: 0.9286 | Box: 0.3762
[16:54:48] Batch 0550/5000 | Loss: 2414984.7500 | Class: 2414983.2500 | Box: 0.2382
[16:54:50] Batch 0560/5000 | Loss: 1.5228 | Class: 0.3294 | Box: 0.0382
